ID,Client,Latitude,Longitude,Distance_from_Last,Time_from_Last
14,Client 14,25.854878,-80.27339599999999,2.815439869760274,8.717
19,Client 19,25.85633,-80.287508,1.0041383424260877,4.033
0,Home,25.8628876,-80.24720465,3.9152696136304326,11.133
41,Client 41,25.88901,-80.22227099999999,3.3436066959126105,10.267
36,Client 36,25.883882999999997,-80.313973,9.047808418357835,14.917
0,Home,25.8628876,-80.24720465,8.238781115239789,12.75
13,Client 13,25.867947,-80.30792,4.21228578174904,13.1
9,Client 9,25.875042,-80.310713,0.7965998483850523,3.85
0,Home,25.8628876,-80.24720465,4.862241664284738,15.15
40,Client 40,25.902959,-80.301147,6.641853182049784,14.517
32,Client 32,25.887652,-80.31809799999999,2.18661066027067,7.333
0,Home,25.8628876,-80.24720465,8.235674251556539,13.217
20,Client 20,25.882567,-80.331127,8.400338026768738,14.683
21,Client 21,25.870162,-80.32715999999999,1.199870754470777,6.183
0,Home,25.8628876,-80.24720465,9.360358904892689,15.833
6,Client 6,25.921676,-80.332595,8.308996234481215,16.15
30,Client 30,25.931565,-80.326758,1.5900928330868556,5.45
0,Home,25.8628876,-80.24720465,9.52067307094834,16.2
12,Client 12,25.929776,-80.28321600000001,7.474492649160525,16.233
24,Client 24,25.949633,-80.280748,1.7951458361812915,6.133
0,Home,25.8628876,-80.24720465,9.219928666409832,19.183
4,Client 4,25.909754,-80.337282,8.368648017199597,16.45
5,Client 5,25.899725,-80.337944,1.8032236817577394,8.433
0,Home,25.8628876,-80.24720465,9.979246150595896,18.617
8,Client 8,25.929102,-80.304068,9.64805448196155,16.767
28,Client 28,25.937114,-80.320012,1.4695465221767932,6.267
0,Home,25.8628876,-80.24720465,11.00078292964818,17.733
3,Client 3,25.941636,-80.34614300000001,12.227994084531547,17.717
26,Client 26,25.9429,-80.339292,1.3079896106478432,6.717
0,Home,25.8628876,-80.24720465,11.844607106018618,17.283
23,Client 23,25.796535000000002,-80.23481899999999,5.6346079759404475,17.767
48,Client 48,25.770551,-80.251593,2.8533436066959124,10.833
0,Home,25.8628876,-80.24720465,7.606845042066935,23.583
16,Client 16,25.950523,-80.26330300000001,7.111610970957038,17.85
45,Client 45,25.988207,-80.315276,5.579305802378614,14.067
0,Home,25.8628876,-80.24720465,16.611778741595934,22.883
29,Client 29,25.933772,-80.327272,9.014875663315395,18.0
15,Client 15,25.966784,-80.346919,6.067083400648713,13.667
0,Home,25.8628876,-80.24720465,15.426199560068103,22.267
22,Client 22,25.874353,-80.326662,8.720966358880037,18.317
27,Client 27,25.986615,-80.389558,12.394521977953694,20.433
0,Home,25.8628876,-80.24720465,16.128972125219036,22.017
11,Client 11,25.767088,-80.27747099999999,8.929126225657722,23.017
7,Client 7,25.755625,-80.302871,2.3170989349671296,8.667
0,Home,25.8628876,-80.24720465,17.357426025575702,25.267
10,Client 10,26.014356,-80.222985,14.454372599947805,23.15
17,Client 17,25.771166,-80.397552,26.567412728199137,31.05
0,Home,25.8628876,-80.24720465,21.610101035206977,30.017
2,Client 2,25.68771,-80.34878499999999,17.77995948649757,30.433
51,Client 51,25.721073,-80.381112,5.610374439211105,11.2
0,Home,25.8628876,-80.24720465,22.73851392496303,29.3
49,Client 49,25.73555,-80.385851,18.52001441584749,30.883
47,Client 47,25.736043,-80.393279,0.6070811637068612,2.883
0,Home,25.8628876,-80.24720465,22.781388643791864,31.25
1,Client 1,25.724319,-80.354282,16.481911839636123,32.633
46,Client 46,25.702964,-80.39980600000001,4.634197869934259,11.633
0,Home,25.8628876,-80.24720465,24.78717983769744,34.117
44,Client 44,25.720914,-80.407891,19.626057887084148,33.033
43,Client 43,25.700156,-80.417381,2.1561633961748297,5.933
0,Home,25.8628876,-80.24720465,26.059751202356246,36.983
37,Client 37,25.71264,-80.43203199999999,21.6902581182348,38.1
34,Client 34,25.710372,-80.444236,1.3440292293735319,4.85
0,Home,25.8628876,-80.24720465,27.061404053835734,39.7
38,Client 38,25.674866,-80.431113,23.298992133421155,39.15
42,Client 42,25.621769,-80.420698,5.091528204108517,12.7
0,Home,25.8628876,-80.24720465,29.826512731927373,39.95
33,Client 33,25.619406,-80.427357,25.941690382392785,41.717
31,Client 31,25.607788,-80.426484,1.2427454732996135,3.817
0,Home,25.8628876,-80.24720465,31.31656455441361,42.617
39,Client 39,25.602578,-80.423699,28.237041271577166,43.567
35,Client 35,25.609076,-80.441792,2.2058732151068137,6.95
0,Home,25.8628876,-80.24720465,31.653348577677807,43.7
50,Client 50,25.548208,-80.378468,30.927585221270835,43.7
18,Client 18,25.45588,-80.43948,10.939267028719849,18.75
0,Home,25.8628876,-80.24720465,41.73325711161097,47.6
25,Client 25,25.470714,-80.495811,40.84469409820175,55.083
